TESTNUM,POINTNUM,TIME,POSIT,FORCE,EXT,CH5,CH6,CH7,CH8
761,182,141.638,0.626019955,8969.422852,3.007105112,15.17800713,,,
761,183,142.136,0.629899979,8911.792969,3.007105112,15.39937401,,,
761,184,142.535,0.632979989,8862.014648,3.007105112,15.52482414,,,
761,185,142.939,0.636860013,8799.19043,3.007105112,15.74586487,,,
761,186,143.337,0.639959991,8744.978516,3.007105112,15.86839294,,,
761,187,143.736,0.643059969,8694.186523,3.007105112,16.09562683,,,
761,188,144.137,0.646160007,8638.580078,3.007105112,16.20664787,,,
761,189,144.44,0.649259984,8579.680664,3.007105112,16.32529831,,,
761,190,144.836,0.652319968,8520.146484,3.007105112,16.56232834,,,
761,191,145.239,0.655439973,8459.851563,3.007105112,16.67351913,,,
761,192,145.539,0.658519983,8395.376953,3.007105112,16.79259682,,,
761,193,145.837,0.660820007,8345.594727,3.007105112,17.03499031,,,
761,194,146.136,0.663179994,8294.672852,3.007105112,17.14738083,,,
761,195,146.438,0.665520012,8241.09082,3.007105112,17.26109886,,,
761,196,146.741,0.667819977,8182.946777,3.007105112,17.38213158,,,
761,197,146.938,0.670159996,8123.916016,3.007105112,17.50219727,,,
761,198,147.141,0.671719968,8074.89209,3.007105112,17.50219727,,,
761,199,147.339,0.673259974,8019.407227,3.007105112,17.62283707,,,
761,200,147.444,0.674019992,7977.476563,3.007105112,17.74118614,,,
